numerai_ticker,iex_ticker
011210 KS,011210-KP
020150 KS,020150-KP
139130 KS,139130-KP
138930 KS,138930-KP
139480 KS,139480-KP
053210 KS,053210-KP
071840 KS,071840-KP
047810 KS,047810-KP
031430 KS,031430-KP
122870 KS,122870-KQ
089030 KS,089030-KQ
007070 KS,007070-KP
104830 KS,104830-KQ
078930 KS,078930-KP
001450 KS,001450-KP
034220 KS,034220-KP
018880 KS,018880-KP
001040 KS,001040-KP
035720 KS,035720-KP
035760 KS,035760-KQ
064960 KS,064960-KP
066570 KS,066570-KP
017810 KS,017810-KP
002350 KS,002350-KP
014680 KS,014680-KP
000100 KS,000100-KP
007700 KS,007700-KP
004020 KS,004020-KP
024110 KS,024110-KP
047040 KS,047040-KP
047050 KS,047050-KP
051900 KS,051900-KP
012750 KS,012750-KP
036460 KS,036460-KP
004800 KS,004800-KP
036570 KS,036570-KP
010780 KS,010780-KP
014620 KS,014620-KQ
000270 KS,000270-KP
001430 KS,001430-KP
005880 KS,005880-KP
010130 KS,010130-KP
015760 KS,015760-KP
004000 KS,004000-KP
000880 KS,000880-KP
003490 KS,003490-KP
010060 KS,010060-KP
000120 KS,000120-KP
049770 KS,049770-KP
006260 KS,006260-KP
010120 KS,010120-KP
051500 KS,051500-KQ
069620 KS,069620-KP
069960 KS,069960-KP
064760 KS,064760-KQ
035250 KS,035250-KP
005610 KS,005610-KP
006400 KS,006400-KP
009150 KS,009150-KP
006280 KS,006280-KP
003230 KS,003230-KP
010140 KS,010140-KP
012450 KS,012450-KP
004170 KS,004170-KP
000370 KS,000370-KP
011790 KS,011790-KP
041510 KS,041510-KQ
039130 KS,039130-KP
036420 KS,036420-KP
051910 KS,051910-KP
001680 KS,001680-KP
030000 KS,030000-KP
055550 KS,055550-KP
011780 KS,011780-KP
012510 KS,012510-KP
017960 KS,017960-KP
020000 KS,020000-KP
000810 KS,000810-KP
005830 KS,005830-KP
033290 KS,033290-KQ
006650 KS,006650-KP
021240 KS,021240-KP
033780 KS,033780-KP
042670 KS,042670-KP
042660 KS,042660-KP
000210 KS,000210-KP
006800 KS,006800-KP
071050 KS,071050-KP
007310 KS,007310-KP
002790 KS,002790-KP
005490 KS,005490-KP
003410 KS,003410-KP
011200 KS,011200-KP
010950 KS,010950-KP
009830 KS,009830-KP
002320 KS,002320-KP
016360 KS,016360-KP
017800 KS,017800-KP
011170 KS,011170-KP
008770 KS,008770-KP
009540 KS,009540-KP
012330 KS,012330-KP
000660 KS,000660-KP
000720 KS,000720-KP
005380 KS,005380-KP
010620 KS,010620-KP
060720 KS,060720-KQ
005850 KS,005850-KP
004990 KS,004990-KP
005300 KS,005300-KP
002270 KS,002270-KP
009240 KS,009240-KP
003550 KS,003550-KP
005940 KS,005940-KP
006360 KS,006360-KP
001120 KS,001120-KP
069260 KS,069260-KP
004370 KS,004370-KP
067160 KS,067160-KQ
074600 KS,074600-KQ
028050 KS,028050-KP
005930 KS,005930-KP
000080 KS,000080-KP
097520 KS,097520-KP
161390 KS,161390-KP
161890 KS,161890-KP
037560 KS,037560-KP
042700 KS,042700-KP
064350 KS,064350-KP
175330 KS,175330-KP
089600 KS,089600-KQ
181710 KS,181710-KP
079430 KS,079430-KP
185750 KS,185750-KP
145020 KS,145020-KQ
086790 KS,086790-KP
086280 KS,086280-KP
023530 KS,023530-KP
000060 KS,000060-KP
192820 KS,192820-KP
200130 KS,200130-KQ
008490 KS,008490-KP
009420 KS,009420-KP
204320 KS,204320-KP
166090 KS,166090-KQ
090430 KS,090430-KP
018260 KS,018260-KP
192440 KS,192440-KQ
035900 KS,035900-KQ
112610 KS,112610-KP
178920 KS,178920-KP
028260 KS,028260-KP
213420 KS,213420-KQ
213500 KS,213500-KP
215200 KS,215200-KQ
093050 KS,093050-KP
210980 KS,210980-KP
214320 KS,214320-KP
222800 KS,222800-KQ
091700 KS,091700-KQ
214450 KS,214450-KQ
079550 KS,079550-KP
192080 KS,192080-KP
089590 KS,089590-KP
020560 KS,020560-KP
003670 KS,003670-KP
039490 KS,039490-KP
036490 KS,036490-KQ
