numerai_ticker,iex_ticker
OXIG LN,OXIG-LN
ABF LN,ABF-LN
PSON LN,PSON-LN
PSN LN,PSN-LN
RCH LN,RCH-LN
ULE LN,ULE-LN
SN/ LN,SN.-LN
GSK LN,GSK-LN
VCT LN,VCT-LN
MGGT LN,MGGT-LN
MNZS LN,MNZS-LN
MGAM LN,MGAM-LN
MRW LN,MRW-LN
NEX LN,NEX-LN
BT/A LN,BT.A-LN
CCL LN,CCL-LN
MKS LN,MKS-LN
KGF LN,KGF-LN
STAN LN,STAN-LN
HSBA LN,HSBA-LN
RIO LN,RIO-LN
BARC LN,BARC-LN
DLG LN,DLG-LN
EMG LN,EMG-LN
BKG LN,BKG-LN
IGG LN,IGG-LN
MCRO LN,MCRO-LN
VSVS LN,VSVS-LN
WPP LN,WPP-LN
ESNT LN,ESNT-LN
CRST LN,CRST-LN
NG/ LN,NG.-LN
888 LN,888-LN
PFC LN,PFC-LN
HIK LN,HIK-LN
RMG LN,RMG-LN
ARW LN,ARW-LN
JUST LN,JUST-LN
BVIC LN,BVIC-LN
LRE LN,LRE-LN
AO/ LN,AO.-LN
QQ/ LN,QQ.-LN
RTN LN,RTN-LN
SOLG LN,SOLG-LN
PETS LN,PETS-LN
GEN LN,GEN-LN
CARD LN,CARD-LN
LSEG LN,LSEG-LN
ULVR LN,ULVR-LN
PTEC LN,PTEC-LN
BME LN,BME-LN
SSPG LN,SSPG-LN
SVS LN,SVS-LN
SPI LN,SPI-LN
CMCX LN,CMCX-LN
CINE LN,CINE-LN
CCC LN,CCC-LN
INDV LN,INDV-LN
VOD LN,VOD-LN
INVP LN,INVP-LN
ABDN LN,ABDN-LN
PNN LN,PNN-LN
JLG LN,JLG-LN
WIZZ LN,WIZZ-LN
EXPN LN,EXPN-LN
AUTO LN,AUTO-LN
SNN LN,SNN-LN
SVT LN,SVT-LN
ADAP US,ADAP
MAB LN,MAB-LN
ASHM LN,ASHM-LN
DNLM LN,DNLM-LN
HSX LN,HSX-LN
HOC LN,HOC-LN
MARS LN,MARS-LN
WTB LN,WTB-LN
OTB LN,OTB-LN
MRO LN,MRO-LN
EQN LN,EQN-LN
IBST LN,IBST-LN
GYM LN,GYM-LN
SCT LN,SCT-LN
VEC LN,VEC-LN
NCC LN,NCC-LN
MNDI LN,MNDI-LN
CSP LN,CSP-LN
FRAS LN,FRAS-LN
ASCL LN,ASCL-LN
BEZ LN,BEZ-LN
DOM LN,DOM-LN
FORT LN,FORT-LN
DRX LN,DRX-LN
SGC LN,SGC-LN
HL/ LN,HL.-LN
SRE LN,SRE-LN
IHG LN,IHG-LN
SMIN LN,SMIN-LN
AAL LN,AAL-LN
III LN,III-LN
PFG LN,PFG-LN
CPI LN,CPI-LN
MONY LN,MONY-LN
DEC LN,DEC-LN
GYS LN,GYS-LN
RKT LN,RKT-LN
TYMN LN,TYMN-LN
RMV LN,RMV-LN
REL LN,REL-LN
PAG LN,PAG-LN
CTEC LN,CTEC-LN
TIFS LN,TIFS-LN
BIFF LN,BIFF-LN
SMWH LN,SMWH-LN
IWG LN,IWG-LN
FRES LN,FRES-LN
UU/ LN,UU.-LN
DLAR LN,DLAR-LN
BOY LN,BOY-LN
NCNA US,NCNA
SBRE LN,SBRE-LN
GRG LN,GRG-LN
IHP LN,IHP-LN
AVV LN,AVV-LN
ENOG LN,ENOG-LN
QLT LN,QLT-LN
AUTL US,AUTL
AVST LN,AVST-LN
DAVA US,DAVA
PHNX LN,PHNX-LN
SFOR LN,SFOR-LN
ORTX US,ORTX
INF LN,INF-LN
FERG LN,FERG-LN
WOSG LN,WOSG-LN
AJB LN,AJB-LN
AAF LN,AAF-LN
TRN LN,TRN-LN
REDD LN,REDD-LN
MNG LN,MNG-LN
HTWS LN,HTWS-LN
N91 LN,N91-LN
CMPS US,CMPS
SAGA LN,SAGA-LN
THG LN,THG-LN
ABCM US,ABCM
OSB LN,OSB-LN
TCAP LN,TCAP-LN
HBR LN,HBR-LN
CNE LN,CNE-LN
DC/ LN,DC.-LN
ENQ LN,ENQ-LN
INCH LN,INCH-LN
8750 JP,8750-JT
4927 JP,4927-JT
4578 JP,4578-JT
2229 JP,2229-JT
6630 JP,6630-JT
4541 JP,4541-JT
4552 JP,4552-JT
3655 JP,3655-JT
7817 JP,7817-JT
4581 JP,4581-JT
3091 JP,3091-JT
6640 JP,6640-JT
3659 JP,3659-JT
6055 JP,6055-JT
8771 JP,8771-JT
6058 JP,6058-JT
8410 JP,8410-JT
4974 JP,4974-JT
7839 JP,7839-JT
4565 JP,4565-JT
9513 JP,9513-JT
6460 JP,6460-JT
9048 JP,9048-JT
6474 JP,6474-JT
6269 JP,6269-JT
6723 JP,6723-JT
3349 JP,3349-JT
6670 JP,6670-JT
2412 JP,2412-JT
3341 JP,3341-JT
2413 JP,2413-JT
2427 JP,2427-JT
8331 JP,8331-JT
6366 JP,6366-JT
4922 JP,4922-JT
8382 JP,8382-JT
9504 JP,9504-JT
4519 JP,4519-JT
7762 JP,7762-JT
4694 JP,4694-JT
6905 JP,6905-JT
4739 JP,4739-JT
8766 JP,8766-JT
8194 JP,8194-JT
4912 JP,4912-JT
2281 JP,2281-JT
1662 JP,1662-JT
4282 JP,4282-JT
6289 JP,6289-JT
9021 JP,9021-JT
9831 JP,9831-JT
2267 JP,2267-JT
7272 JP,7272-JT
4503 JP,4503-JT
5444 JP,5444-JT
2212 JP,2212-JT
6845 JP,6845-JT
9064 JP,9064-JT
5949 JP,5949-JT
8279 JP,8279-JT
6506 JP,6506-JT
5911 JP,5911-JT
5101 JP,5101-JT
6800 JP,6800-JT
6875 JP,6875-JT
4704 JP,4704-JT
9613 JP,9613-JT
4708 JP,4708-JT
4751 JP,4751-JT
4970 JP,4970-JT
2593 JP,2593-JT
4062 JP,4062-JT
6908 JP,6908-JT
4028 JP,4028-JT
7013 JP,7013-JT
7202 JP,7202-JT
8001 JP,8001-JT
8273 JP,8273-JT
8088 JP,8088-JT
8385 JP,8385-JT
6807 JP,6807-JT
6951 JP,6951-JT
4114 JP,4114-JT
5631 JP,5631-JT
4185 JP,4185-JT
8595 JP,8595-JT
9706 JP,9706-JT
9983 JP,9983-JT
7296 JP,7296-JT
8306 JP,8306-JT
4681 JP,4681-JT
7867 JP,7867-JT
2815 JP,2815-JT
8572 JP,8572-JT
7564 JP,7564-JT
2502 JP,2502-JT
3407 JP,3407-JT
5201 JP,5201-JT
6952 JP,6952-JT
9022 JP,9022-JT
8411 JP,8411-JT
8253 JP,8253-JT
2768 JP,2768-JT
8802 JP,8802-JT
9301 JP,9301-JT
4182 JP,4182-JT
6503 JP,6503-JT
7011 JP,7011-JT
5711 JP,5711-JT
8031 JP,8031-JT
5706 JP,5706-JT
7003 JP,7003-JT
6966 JP,6966-JT
9104 JP,9104-JT
8801 JP,8801-JT
6005 JP,6005-JT
7211 JP,7211-JT
6728 JP,6728-JT
8920 JP,8920-JT
3941 JP,3941-JT
7752 JP,7752-JT
5947 JP,5947-JT
6925 JP,6925-JT
9956 JP,9956-JT
5423 JP,5423-JT
9672 JP,9672-JT
9005 JP,9005-JT
3402 JP,3402-JT
6502 JP,6502-JT
1835 JP,1835-JT
5332 JP,5332-JT
4553 JP,4553-JT
6330 JP,6330-JT
2875 JP,2875-JT
5105 JP,5105-JT
5938 JP,5938-JT
4042 JP,4042-JT
7261 JP,7261-JT
3101 JP,3101-JT
6201 JP,6201-JT
7282 JP,7282-JT
8015 JP,8015-JT
3116 JP,3116-JT
7203 JP,7203-JT
9715 JP,9715-JT
6371 JP,6371-JT
6101 JP,6101-JT
4540 JP,4540-JT
4208 JP,4208-JT
8113 JP,8113-JT
6752 JP,6752-JT
9744 JP,9744-JT
4689 JP,4689-JT
7518 JP,7518-JT
4676 JP,4676-JT
7550 JP,7550-JT
6706 JP,6706-JT
9793 JP,9793-JT
2651 JP,2651-JT
4768 JP,4768-JT
8593 JP,8593-JT
7532 JP,7532-JT
6146 JP,6146-JT
7716 JP,7716-JT
7725 JP,7725-JT
2206 JP,2206-JT
7966 JP,7966-JT
9006 JP,9006-JT
9008 JP,9008-JT
9009 JP,9009-JT
9616 JP,9616-JT
2801 JP,2801-JT
6861 JP,6861-JT
1944 JP,1944-JT
4547 JP,4547-JT
6498 JP,6498-JT
8218 JP,8218-JT
7276 JP,7276-JT
6301 JP,6301-JT
9766 JP,9766-JT
4902 JP,4902-JT
6473 JP,6473-JT
1861 JP,1861-JT
3405 JP,3405-JT
4023 JP,4023-JT
6370 JP,6370-JT
4716 JP,4716-JT
6448 JP,6448-JT
4967 JP,4967-JT
6789 JP,6789-JT
2670 JP,2670-JT
2678 JP,2678-JT
4812 JP,4812-JT
9020 JP,9020-JT
2685 JP,2685-JT
4816 JP,4816-JT
7717 JP,7717-JT
6787 JP,6787-JT
6361 JP,6361-JT
2702 JP,2702-JT
8111 JP,8111-JT
4293 JP,4293-JT
7205 JP,7205-JT
6806 JP,6806-JT
6501 JP,6501-JT
5486 JP,5486-JT
9086 JP,9086-JT
7004 JP,7004-JT
6810 JP,6810-JT
6305 JP,6305-JT
9509 JP,9509-JT
8309 JP,8309-JT
3865 JP,3865-JT
9505 JP,9505-JT
7267 JP,7267-JT
6856 JP,6856-JT
1824 JP,1824-JT
6135 JP,6135-JT
6586 JP,6586-JT
4917 JP,4917-JT
8316 JP,8316-JT
6432 JP,6432-JT
6871 JP,6871-JT
8002 JP,8002-JT
5463 JP,5463-JT
8439 JP,8439-JT
2782 JP,2782-JT
1893 JP,1893-JT
9984 JP,9984-JT
6707 JP,6707-JT
9065 JP,9065-JT
6417 JP,6417-JT
4536 JP,4536-JT
5929 JP,5929-JT
2501 JP,2501-JT
7459 JP,7459-JT
3401 JP,3401-JT
6869 JP,6869-JT
4543 JP,4543-JT
1860 JP,1860-JT
5301 JP,5301-JT
6995 JP,6995-JT
9401 JP,9401-JT
7732 JP,7732-JT
7729 JP,7729-JT
5727 JP,5727-JT
6588 JP,6588-JT
4186 JP,4186-JT
5975 JP,5975-JT
9001 JP,9001-JT
9605 JP,9605-JT
9602 JP,9602-JT
9506 JP,9506-JT
9501 JP,9501-JT
8804 JP,8804-JT
9531 JP,9531-JT
8129 JP,8129-JT
8035 JP,8035-JT
4043 JP,4043-JT
7309 JP,7309-JT
6967 JP,6967-JT
4911 JP,4911-JT
8355 JP,8355-JT
4004 JP,4004-JT
9989 JP,9989-JT
6143 JP,6143-JT
6758 JP,6758-JT
4206 JP,4206-JT
7259 JP,7259-JT
2802 JP,2802-JT
9202 JP,9202-JT
7545 JP,7545-JT
8515 JP,8515-JT
6770 JP,6770-JT
6113 JP,6113-JT
6436 JP,6436-JT
7936 JP,7936-JT
7337 JP,7337-JT
8369 JP,8369-JT
4921 JP,4921-JT
5108 JP,5108-JT
7220 JP,7220-JT
4684 JP,4684-JT
6839 JP,6839-JT
5021 JP,5021-JT
4755 JP,4755-JT
5714 JP,5714-JT
9375 JP,9375-JT
4523 JP,4523-JT
4819 JP,4819-JT
8473 JP,8473-JT
4061 JP,4061-JT
4971 JP,4971-JT
2695 JP,2695-JT
4368 JP,4368-JT
6794 JP,6794-JT
4849 JP,4849-JT
7730 JP,7730-JT
6890 JP,6890-JT
6504 JP,6504-JT
7270 JP,7270-JT
9010 JP,9010-JT
4901 JP,4901-JT
4544 JP,4544-JT
5803 JP,5803-JT
2607 JP,2607-JT
6954 JP,6954-JT
6702 JP,6702-JT
9749 JP,9749-JT
9075 JP,9075-JT
9757 JP,9757-JT
5801 JP,5801-JT
7575 JP,7575-JT
9974 JP,9974-JT
6324 JP,6324-JT
6750 JP,6750-JT
4307 JP,4307-JT
8334 JP,8334-JT
3002 JP,3002-JT
9603 JP,9603-JT
8359 JP,8359-JT
4324 JP,4324-JT
9435 JP,9435-JT
8308 JP,8308-JT
6971 JP,6971-JT
1951 JP,1951-JT
4151 JP,4151-JT
1959 JP,1959-JT
6920 JP,6920-JT
6141 JP,6141-JT
2264 JP,2264-JT
6724 JP,6724-JT
1973 JP,1973-JT
5333 JP,5333-JT
5334 JP,5334-JT
6407 JP,6407-JT
2579 JP,2579-JT
9449 JP,9449-JT
4732 JP,4732-JT
7751 JP,7751-JT
8060 JP,8060-JT
9697 JP,9697-JT
8876 JP,8876-JT
4733 JP,4733-JT
4680 JP,4680-JT
9433 JP,9433-JT
9627 JP,9627-JT
6383 JP,6383-JT
7278 JP,7278-JT
1878 JP,1878-JT
4202 JP,4202-JT
5471 JP,5471-JT
4461 JP,4461-JT
6367 JP,6367-JT
4631 JP,4631-JT
4506 JP,4506-JT
7735 JP,7735-JT
1925 JP,1925-JT
7990 JP,7990-JT
6962 JP,6962-JT
7649 JP,7649-JT
6136 JP,6136-JT
9007 JP,9007-JT
1802 JP,1802-JT
6703 JP,6703-JT
3861 JP,3861-JT
6103 JP,6103-JT
7994 JP,7994-JT
9511 JP,9511-JT
5233 JP,5233-JT
8591 JP,8591-JT
9532 JP,9532-JT
6622 JP,6622-JT
7250 JP,7250-JT
4666 JP,4666-JT
2784 JP,2784-JT
1721 JP,1721-JT
6268 JP,6268-JT
1719 JP,1719-JT
7956 JP,7956-JT
2371 JP,2371-JT
9735 JP,9735-JT
9076 JP,9076-JT
4204 JP,4204-JT
1928 JP,1928-JT
9069 JP,9069-JT
6753 JP,6753-JT
8227 JP,8227-JT
9507 JP,9507-JT
7701 JP,7701-JT
1803 JP,1803-JT
4063 JP,4063-JT
4507 JP,4507-JT
2292 JP,2292-JT
6923 JP,6923-JT
8850 JP,8850-JT
9719 JP,9719-JT
4203 JP,4203-JT
5232 JP,5232-JT
4005 JP,4005-JT
5802 JP,5802-JT
6302 JP,6302-JT
5713 JP,5713-JT
8830 JP,8830-JT
8053 JP,8053-JT
5110 JP,5110-JT
9303 JP,9303-JT
6965 JP,6965-JT
9042 JP,9042-JT
8242 JP,8242-JT
8078 JP,8078-JT
1808 JP,1808-JT
8050 JP,8050-JT
3593 JP,3593-JT
4343 JP,4343-JT
4344 JP,4344-JT
2810 JP,2810-JT
4088 JP,4088-JT
7741 JP,7741-JT
5726 JP,5726-JT
6737 JP,6737-JT
1963 JP,1963-JT
2914 JP,2914-JT
9787 JP,9787-JT
8267 JP,8267-JT
7476 JP,7476-JT
1812 JP,1812-JT
9364 JP,9364-JT
9678 JP,9678-JT
4118 JP,4118-JT
9503 JP,9503-JT
1942 JP,1942-JT
4613 JP,4613-JT
4452 JP,4452-JT
7012 JP,7012-JT
9107 JP,9107-JT
8905 JP,8905-JT
5411 JP,5411-JT
2327 JP,2327-JT
2331 JP,2331-JT
2337 JP,2337-JT
6592 JP,6592-JT
7943 JP,7943-JT
7988 JP,7988-JT
6376 JP,6376-JT
6849 JP,6849-JT
8174 JP,8174-JT
6997 JP,6997-JT
5563 JP,5563-JT
6902 JP,6902-JT
6701 JP,6701-JT
4403 JP,4403-JT
4612 JP,4612-JT
6594 JP,6594-JT
2282 JP,2282-JT
1881 JP,1881-JT
2871 JP,2871-JT
1332 JP,1332-JT
2002 JP,2002-JT
1820 JP,1820-JT
3110 JP,3110-JT
5703 JP,5703-JT
5393 JP,5393-JT
9432 JP,9432-JT
5202 JP,5202-JT
6471 JP,6471-JT
4021 JP,4021-JT
6641 JP,6641-JT
2897 JP,2897-JT
7915 JP,7915-JT
9062 JP,9062-JT
9072 JP,9072-JT
7731 JP,7731-JT
7951 JP,7951-JT
7240 JP,7240-JT
5401 JP,5401-JT
5214 JP,5214-JT
8056 JP,8056-JT
7201 JP,7201-JT
6480 JP,6480-JT
5943 JP,5943-JT
9101 JP,9101-JT
4205 JP,4205-JT
9404 JP,9404-JT
9843 JP,9843-JT
6284 JP,6284-JT
4661 JP,4661-JT
6472 JP,6472-JT
2379 JP,2379-JT
2809 JP,2809-JT
3433 JP,3433-JT
1926 JP,1926-JT
9948 JP,9948-JT
8919 JP,8919-JT
6674 JP,6674-JT
8795 JP,8795-JT
3738 JP,3738-JT
4527 JP,4527-JT
6273 JP,6273-JT
9003 JP,9003-JT
9039 JP,9039-JT
8358 JP,8358-JT
9987 JP,9987-JT
6395 JP,6395-JT
1979 JP,1979-JT
1801 JP,1801-JT
8233 JP,8233-JT
4502 JP,4502-JT
6857 JP,6857-JT
1969 JP,1969-JT
6976 JP,6976-JT
6013 JP,6013-JT
3880 JP,3880-JT
8570 JP,8570-JT
6754 JP,6754-JT
7864 JP,7864-JT
7581 JP,7581-JT
7599 JP,7599-JT
7606 JP,7606-JT
9502 JP,9502-JT
8601 JP,8601-JT
9409 JP,9409-JT
9684 JP,9684-JT
6755 JP,6755-JT
8282 JP,8282-JT
2503 JP,2503-JT
5406 JP,5406-JT
6326 JP,6326-JT
9508 JP,9508-JT
8252 JP,8252-JT
6508 JP,6508-JT
4919 JP,4919-JT
9962 JP,9962-JT
8058 JP,8058-JT
4183 JP,4183-JT
2201 JP,2201-JT
6996 JP,6996-JT
4091 JP,4091-JT
4516 JP,4516-JT
4041 JP,4041-JT
6988 JP,6988-JT
6479 JP,6479-JT
8604 JP,8604-JT
6145 JP,6145-JT
7733 JP,7733-JT
8303 JP,8303-JT
7453 JP,7453-JT
8136 JP,8136-JT
7269 JP,7269-JT
6481 JP,6481-JT
6762 JP,6762-JT
4626 JP,4626-JT
6841 JP,6841-JT
2432 JP,2432-JT
2433 JP,2433-JT
3360 JP,3360-JT
3762 JP,3762-JT
9514 JP,9514-JT
3765 JP,3765-JT
3769 JP,3769-JT
3774 JP,3774-JT
3003 JP,3003-JT
9201 JP,9201-JT
3668 JP,3668-JT
7164 JP,7164-JT
3034 JP,3034-JT
4290 JP,4290-JT
7747 JP,7747-JT
8697 JP,8697-JT
2384 JP,2384-JT
3863 JP,3863-JT
3382 JP,3382-JT
4568 JP,4568-JT
7832 JP,7832-JT
4188 JP,4188-JT
4587 JP,4587-JT
2587 JP,2587-JT
3186 JP,3186-JT
3046 JP,3046-JT
2222 JP,2222-JT
3391 JP,3391-JT
3436 JP,3436-JT
3288 JP,3288-JT
5741 JP,5741-JT
4985 JP,4985-JT
2154 JP,2154-JT
3289 JP,3289-JT
6134 JP,6134-JT
3291 JP,3291-JT
6080 JP,6080-JT
3678 JP,3678-JT
3395 JP,3395-JT
3397 JP,3397-JT
2471 JP,2471-JT
7779 JP,7779-JT
1407 JP,1407-JT
9090 JP,9090-JT
9024 JP,9024-JT
5310 JP,5310-JT
1605 JP,1605-JT
3031 JP,3031-JT
6095 JP,6095-JT
3197 JP,3197-JT
9468 JP,9468-JT
3038 JP,3038-JT
6098 JP,6098-JT
6099 JP,6099-JT
2930 JP,2930-JT
6028 JP,6028-JT
3902 JP,3902-JT
9517 JP,9517-JT
2491 JP,2491-JT
9551 JP,9551-JT
2492 JP,2492-JT
3048 JP,3048-JT
3050 JP,3050-JT
2121 JP,2121-JT
2124 JP,2124-JT
3231 JP,3231-JT
4592 JP,4592-JT
8418 JP,8418-JT
2127 JP,2127-JT
3134 JP,3134-JT
6047 JP,6047-JT
7180 JP,7180-JT
2120 JP,2120-JT
5019 JP,5019-JT
8304 JP,8304-JT
3064 JP,3064-JT
4593 JP,4593-JT
6258 JP,6258-JT
7780 JP,7780-JT
5440 JP,5440-JT
4980 JP,4980-JT
6178 JP,6178-JT
7182 JP,7182-JT
7181 JP,7181-JT
7313 JP,7313-JT
6183 JP,6183-JT
3923 JP,3923-JT
6238 JP,6238-JT
6804 JP,6804-JT
7947 JP,7947-JT
6645 JP,6645-JT
4528 JP,4528-JT
6963 JP,6963-JT
9783 JP,9783-JT
7974 JP,7974-JT
4187 JP,4187-JT
6315 JP,6315-JT
1911 JP,1911-JT
7740 JP,7740-JT
6981 JP,6981-JT
3932 JP,3932-JT
2296 JP,2296-JT
7186 JP,7186-JT
5384 JP,5384-JT
3076 JP,3076-JT
9412 JP,9412-JT
8354 JP,8354-JT
2146 JP,2146-JT
2130 JP,2130-JT
2151 JP,2151-JT
6196 JP,6196-JT
6197 JP,6197-JT
3543 JP,3543-JT
4369 JP,4369-JT
7821 JP,7821-JT
3086 JP,3086-JT
3088 JP,3088-JT
6200 JP,6200-JT
6532 JP,6532-JT
4189 JP,4189-JT
9142 JP,9142-JT
3966 JP,3966-JT
3092 JP,3092-JT
1414 JP,1414-JT
3549 JP,3549-JT
6541 JP,6541-JT
2175 JP,2175-JT
3097 JP,3097-JT
3563 JP,3563-JT
9519 JP,9519-JT
3099 JP,3099-JT
3626 JP,3626-JT
8725 JP,8725-JT
3978 JP,3978-JT
3479 JP,3479-JT
3141 JP,3141-JT
6632 JP,6632-JT
2181 JP,2181-JT
6465 JP,6465-JT
3632 JP,3632-JT
3150 JP,3150-JT
2269 JP,2269-JT
5857 JP,5857-JT
3635 JP,3635-JT
6556 JP,6556-JT
3994 JP,3994-JT
9143 JP,9143-JT
7198 JP,7198-JT
7199 JP,7199-JT
6235 JP,6235-JT
6569 JP,6569-JT
4384 JP,4384-JT
6572 JP,6572-JT
4385 JP,4385-JT
7033 JP,7033-JT
7034 JP,7034-JT
4397 JP,4397-JT
4423 JP,4423-JT
9434 JP,9434-JT
4435 JP,4435-JT
4443 JP,4443-JT
4931 JP,4931-JT
2270 JP,2270-JT
4448 JP,4448-JT
4477 JP,4477-JT
4478 JP,4478-JT
4483 JP,4483-JT
4485 JP,4485-JT
4480 JP,4480-JT
4887 JP,4887-JT
8715 JP,8715-JT
8283 JP,8283-JT
5020 JP,5020-JT
8630 JP,8630-JT
ECOR3 BZ,ECOR3-BS
MGLU3 BZ,MGLU3-BS
QUAL3 BZ,QUAL3-BS
RADL3 BZ,RADL3-BS
AMER3 BZ,AMER3-BS
VVAR3 BZ,VVAR3-BS
HGTX3 BZ,HGTX3-BS
CSNA3 BZ,CSNA3-BS
SUZB3 BZ,SUZB3-BS
WEGE3 BZ,WEGE3-BS
BRFS3 BZ,BRFS3-BS
VIVT3 BZ,VIVT3-BS
BBAS3 BZ,BBAS3-BS
CYRE3 BZ,CYRE3-BS
LEVE3 BZ,LEVE3-BS
PSSA3 BZ,PSSA3-BS
PCAR3 BZ,PCAR3-BS
EGIE3 BZ,EGIE3-BS
UGPA3 BZ,UGPA3-BS
LREN3 BZ,LREN3-BS
COGN3 BZ,COGN3-BS
CCRO3 BZ,CCRO3-BS
VALE3 BZ,VALE3-BS
ELET3 BZ,ELET3-BS
PETR3 BZ,PETR3-BS
LCAM3 BZ,LCAM3-BS
SQIA3 BZ,SQIA3-BS
RENT3 BZ,RENT3-BS
CAML3 BZ,CAML3-BS
BBSE3 BZ,BBSE3-BS
ALUP11 BZ,ALUP11-BS
ENBR3 BZ,ENBR3-BS
CSAN3 BZ,CSAN3-BS
ABEV3 BZ,ABEV3-BS
KLBN11 BZ,KLBN11-BS
CSMG3 BZ,CSMG3-BS
LIGT3 BZ,LIGT3-BS
TOTS3 BZ,TOTS3-BS
EQTL3 BZ,EQTL3-BS
EMBR3 BZ,EMBR3-BS
BRPR3 BZ,BRPR3-BS
TAEE11 BZ,TAEE11-BS
ODPV3 BZ,ODPV3-BS
IGTA3 BZ,IGTA3-BS
SMTO3 BZ,SMTO3-BS
BRML3 BZ,BRML3-BS
JBSS3 BZ,JBSS3-BS
OIBR3 BZ,OIBR3-BS
SBSP3 BZ,SBSP3-BS
MRFG3 BZ,MRFG3-BS
MRVE3 BZ,MRVE3-BS
MULT3 BZ,MULT3-BS
YDUQ3 BZ,YDUQ3-BS
DTEX3 BZ,DTEX3-BS
TEND3 BZ,TEND3-BS
ENEV3 BZ,ENEV3-BS
BPAC11 BZ,BPAC11-BS
RAIL3 BZ,RAIL3-BS
SULA11 BZ,SULA11-BS
IRBR3 BZ,IRBR3-BS
HYPE3 BZ,HYPE3-BS
B3SA3 BZ,B3SA3-BS
CRFB3 BZ,CRFB3-BS
OMGE3 BZ,OMGE3-BS
SAPR11 BZ,SAPR11-BS
BKBR3 BZ,BKBR3-BS
GNDI3 BZ,GNDI3-BS
HAPV3 BZ,HAPV3-BS
LOGG3 BZ,LOGG3-BS
CIEL3 BZ,CIEL3-BS
BIDI11 BZ,BIDI11-BS
NTCO3 BZ,NTCO3-BS
LJQQ3 BZ,LJQQ3-BS
HBSA3 BZ,HBSA3-BS
BOAS3 BZ,BOAS3-BS
TIMS3 BZ,TIMS3-BS
SANB11 BZ,SANB11-BS
ENGI11 BZ,ENGI11-BS
FLRY3 BZ,FLRY3-BS
GENTERA* MF,GENTERA-MM
WALMEX* MF,WALMEX-MM
GFNORTEO MF,GFNORTEO-MM
ORBIA* MF,ORBIA-MM
PE&OLES* MF,PE&OLES-MM
TLEVICPO MF,
BIMBOA MF,BIMBOA-MM
GRUMAB MF,GRUMAB-MM
PINFRA* MF,PINFRA-MM
GCC* MF,GCC-MM
LIVEPOLC MF,LIVEPOLC-1-MM
ALSEA* MF,ALSEA-MM
ASURB MF,ASURB-MM
GMEXICOB MF,GMEXICOB-MM
KIMBERA MF,KIMBERA-MM
GFINBURO MF,GFINBURO-MM
AC* MF,AC-MM
ALFAA MF,ALFAA-MM
CEMEXCPO MF,CEMEXCPO-MM
AMXL MF,AMXL-MM
ALPEKA MF,ALPEKA-MM
VESTA* MF,VESTA-MM
FEMSAUBD MF,FEMSAUBD-MM
CREAL* MF,CREAL-MM
VOLARA MF,VOLARA-MM
GAPB MF,GAPB-MM
NEMAKA MF,NEMAKA-MM
OMAB MF,OMAB-MM
Q* MF,Q-MM
SITESB1 MF,
MEGACPO MF,MEGACPO-MM
CUERVO* MF,CUERVO-MM
BBAJIOO MF,BBAJIOO-MM
BOLSAA MF,BOLSAA-MM
LABB MF,LABB-MM
TRAXIONA MF,TRAXIONA-MM
BSMXB MF,
RA MF,RA-MM
KOFUBL MF,KOFUBL-MM
VIST US,VIST
AIR US,AIR
AAL US,AAL
PNW US,PNW
PRG US,PRG
ABT US,ABT
AMD US,AMD
APD US,APD
ALK US,ALK
MATX US,MATX
HON US,HON
SWKS US,SWKS
HES US,HES
ABM US,ABM
PRI US,PRI
ECOL US,ECOL
AEP US,AEP
AXP US,AXP
AFL US,AFL
AIG US,AIG
AMSWA US,AMSWA
AME US,AME
AMGN US,AMGN
ADI US,ADI
ANDE US,ANDE
NBR US,NBR
APA US,APA
APOG US,APOG
AAPL US,AAPL
AMAT US,AMAT
EPAC US,EPAC
ADM US,ADM
ARCB US,ARCB
ARW US,ARW
ASH US,ASH
ATRO US,ATRO
ADSK US,ADSK
ADP US,ADP
AVY US,AVY
AVT US,AVT
AZZ US,AZZ
BMI US,BMI
BCPC US,BCPC
BLL US,BLL
BPOP US,BPOP
BOH US,BOH
BK US,BK
B US,B
BAX US,BAX
AIT US,AIT
BDX US,BDX
VZ US,VZ
BRK/B US,BRK/B
BBY US,BBY
BIO US,BIO
BKH US,BKH
HRB US,HRB
BA US,BA
RHI US,RHI
BRC US,BRC
BMY US,BMY
BF/B US,BF/B
BC US,BC
MTRN US,MTRN
MTZ US,MTZ
RAMP US,RAMP
CI US,CI
CSX US,CSX
CTS US,CTS
CBT US,CBT
CACI US,CACI
CAMP US,CAMP
CWT US,CWT
CPB US,CPB
STZ US,STZ
CAH US,CAH
CSL US,CSL
CRS US,CRS
CASY US,CASY
CAT US,CAT
CVCO US,CVCO
LUMN US,LUMN
CHE US,CHE
JPM US,JPM
CPK US,CPK
CVX US,CVX
EAT US,EAT
CHD US,CHD
CHDN US,CHDN
CTAS US,CTAS
IHRT US,IHRT
CLF US,CLF
CLX US,CLX
KO US,KO
CDE US,CDE
COHR US,COHR
COHU US,COHU
CL US,CL
AON US,AON
CMCSA US,CMCSA
CMA US,CMA
CBSH US,CBSH
C US,C
CMC US,CMC
CAR US,CAR
DXC US,DXC
CMTL US,CMTL
CAG US,CAG
SSTK US,SSTK
ED US,ED
CMS US,CMS
CLR US,CLR
COO US,COO
TAP US,TAP
GLW US,GLW
